Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
15,Entry long,2023-09-27 15:15,Long,46.29,210,9720.9,268.8,2.77,348.6,3.59,-65.1,-0.67,32.87,0.33
16,Exit long,2023-11-14 14:30,Exit,45.36,227,10003.89,292.83,2.93,372.28,3.72,-40.86,-0.41,325.7,3.26
16,Entry long,2023-11-13 11:15,Long,44.07,227,10003.89,292.83,2.93,372.28,3.72,-40.86,-0.41,325.7,3.26
17,Exit long,2023-11-28 09:30,Exit,44.8,229,10311.87,-52.67,-0.51,251.9,2.44,-109.92,-1.07,273.03,2.73
17,Entry long,2023-11-17 10:30,Long,45.03,229,10311.87,-52.67,-0.51,251.9,2.44,-109.92,-1.07,273.03,2.73
18,Exit long,2023-12-07 09:30,Exit,45.15,219,10262.34,-374.49,-3.65,19.71,0.19,-374.49,-3.65,-101.46,-1.01
18,Entry long,2023-12-06 10:15,Long,46.86,219,10262.34,-374.49,-3.65,19.71,0.19,-374.49,-3.65,-101.46,-1.01
19,Exit long,2023-12-18 09:30,Exit,42.97,220,9875.8,-422.4,-4.28,19.8,0.20,-422.4,-4.28,-523.86,-5.24
19,Entry long,2023-12-14 10:30,Long,44.89,220,9875.8,-422.4,-4.28,19.8,0.20,-422.4,-4.28,-523.86,-5.24
20,Exit long,2024-01-08 09:45,Exit,47.67,210,9443.7,567,6.00,567,6.00,-159.6,-1.69,43.14,0.43
20,Entry long,2023-12-29 10:45,Long,44.97,210,9443.7,567,6.00,567,6.00,-159.6,-1.69,43.14,0.43
21,Exit long,2024-01-12 14:00,Exit,49.75,209,10038.27,359.48,3.58,545.49,5.43,-56.43,-0.56,402.62,4.03
21,Entry long,2024-01-10 09:30,Long,48.03,209,10038.27,359.48,3.58,545.49,5.43,-56.43,-0.56,402.62,4.03
22,Exit long,2024-01-22 10:00,Exit,52.28,203,10357.06,255.78,2.47,381.64,3.68,-26.39,-0.25,658.4,6.58
22,Entry long,2024-01-18 10:45,Long,51.02,203,10357.06,255.78,2.47,381.64,3.68,-26.39,-0.25,658.4,6.58
23,Exit long,2024-01-25 10:45,Exit,51.4,207,10629.45,10.35,0.10,221.49,2.08,-39.33,-0.37,668.75,6.69
23,Entry long,2024-01-24 12:15,Long,51.35,207,10629.45,10.35,0.10,221.49,2.08,-39.33,-0.37,668.75,6.69
24,Exit long,2024-02-01 10:45,Exit,53.91,200,10648,134,1.26,312,2.93,-82,-0.77,802.75,8.03
24,Entry long,2024-01-31 10:45,Long,53.24,200,10648,134,1.26,312,2.93,-82,-0.77,802.75,8.03
25,Exit long,2024-02-06 12:15,Exit,55.18,195,10750.35,9.75,0.09,220.35,2.05,-101.4,-0.94,812.5,8.13
25,Entry long,2024-02-05 12:15,Long,55.13,195,10750.35,9.75,0.09,220.35,2.05,-101.4,-0.94,812.5,8.13
26,Exit long,2024-02-13 09:30,Exit,55.01,190,10757.8,-305.9,-2.84,210.9,1.96,-305.9,-2.84,506.6,5.07
